current_line,next_line,occurrence_ct
def get_prime(n):,"assert isinstance(n, int) and (n >= 0), ""'number' must been a positive int""",1
index = 0,ans = 2,1
while index < n:,index += 1,1
index += 1,ans += 1,1
while not is_prime(ans):,ans += 1,1
"assert isinstance(ans, int) and is_prime(ans), (","""'ans' must been a prime number and from type int""",1
"""'ans' must been a prime number and from type int""",),1
"def get_primes_between(p_number_1, p_number_2):",assert (,1
assert (,is_prime(p_number_1) and is_prime(p_number_2) and (p_number_1 < p_number_2),1
is_prime(p_number_1) and is_prime(p_number_2) and (p_number_1 < p_number_2),"), ""The arguments must been prime numbers and 'pNumber1' < 'pNumber2'""",1
number = p_number_1 + 1,ans = [],1
while not is_prime(number):,number += 1,2
while number < p_number_2:,ans.append(number),1
ans.append(number),number += 1,1
"isinstance(ans, list)",and ans[0] != p_number_1,1
and ans[0] != p_number_1,and ans[len(ans) - 1] != p_number_2,1
and ans[len(ans) - 1] != p_number_2,"), ""'ans' must been a list without the arguments""",1
def get_divisors(n):,"assert isinstance(n, int) and (n >= 1), ""'n' must been int and >= 1""",1
"assert isinstance(n, int) and (n >= 1), ""'n' must been int and >= 1""",ans = [],1
"for divisor in range(1, n + 1):",if n % divisor == 0:,1
if n % divisor == 0:,ans.append(divisor),1
"assert ans[0] == 1 and ans[len(ans) - 1] == n, ""Error in function getDivisiors(...)""",return ans,1
def is_perfect_number(number):,"assert isinstance(number, int) and (number > 1), (",1
"assert isinstance(number, int) and (number > 1), (","""'number' must been an int and >= 1""",1
"""'number' must been an int and >= 1""",),1
assert (,"isinstance(divisors, list)",1
"isinstance(divisors, list)",and (divisors[0] == 1),1
and (divisors[0] == 1),and (divisors[len(divisors) - 1] == number),1
and (divisors[len(divisors) - 1] == number),"), ""Error in help-function getDivisiors(...)""",1
"def simplify_fraction(numerator, denominator):",assert (,1
assert (,"isinstance(numerator, int)",1
"isinstance(numerator, int)","and isinstance(denominator, int)",1
"and isinstance(denominator, int)",and (denominator != 0),1
and (denominator != 0),"), ""The arguments must been from type int and 'denominator' != 0""",1
assert (,"isinstance(gcd_of_fraction, int)",1
"isinstance(gcd_of_fraction, int)",and (numerator % gcd_of_fraction == 0),1
and (numerator % gcd_of_fraction == 0),and (denominator % gcd_of_fraction == 0),1
and (denominator % gcd_of_fraction == 0),"), ""Error in function gcd_by_iterative(...,...)""",1
def factorial(n):,return 1 if n == 1 else n * factorial(n - 1),1
def fib(n: int) -> int:,"assert isinstance(n, int) and (n >= 0), ""'n' must been an int and >= 0""",1
tmp = 0,fib1 = 1,1
fib1 = 1,ans = 1,1
for _ in range(n - 1):,tmp = ans,1
tmp = ans,ans += fib1,1
ans += fib1,fib1 = tmp,1
"if __name__ == ""__main__"":",import doctest,1
